,real_close_price_test,predict_price_test_close,predict_price_test_open,predict_price_test_high,predict_price_test_low,,真_价格是否位于__到最高价和最低价之_,,真_价格位于___的概率
76,19792.6,19708.16016,19681.43945,20473.5,19040.07031,,1,,
77,20043.9,19714.76367,19689.50195,20472.08008,19059.42383,,1,,
78,20126.1,19823.29297,19802.98633,20573.46484,19184.49609,,1,,
79,19952.7,19788.99219,19765.29883,20528.26367,19156.36133,,1,,
80,19831.4,19821.72461,19798.07617,20553.24609,19194.62695,,1,,
81,19999.9,19689.1543,19658.67383,20409.41797,19061.23047,,1,,
82,19793.1,19659.64648,19630.83398,20376.52539,19036.57227,,1,,
83,18786.4,19619.1543,19589.06641,20330.9082,18997.64258,,0,,
84,19281.5,19158.57617,19110.76172,19855.73242,18518.57422,,1,,
85,19317.4,18908.5,18864.66406,19609.10938,18270.53906,,1,,
86,21365.2,18962.16797,18929.80664,19669.27148,18336.9375,,0,,
87,21650.4,20073.77539,20091.43164,20819.45508,19498.09375,,0,,
88,21834.9,21082.1543,21108.90625,21834.35352,20522.86719,,0,,
89,22395.3,21496.10156,21502.89648,22235.33789,20919.52734,,0,,
90,20175.5,21922.70508,21923.24219,22664.93164,21330.61914,,0,,
91,20222.5,21066.46875,21012.94141,21787.60742,20398.23438,,0,,
92,19701.7,20155.9707,20083.4668,20880.4043,19443.67578,,1,,
93,19802.4,19645.35742,19578.25781,20385.92969,18920.89063,,1,,
94,20113.5,19391.68164,19336.08594,20144.45508,18674.62109,,1,,
95,19418.8,19590.01758,19556.03711,20353.39453,18899.52734,,1,,
96,19538.9,19411.24414,19369.98828,20158.87109,18724.05664,,1,,
97,18872.4,19042.0957,18995.29102,19777.60742,18353.07617,,1,,
98,18489,18849.00195,18805.04297,19575.7793,18165.00586,,1,,
99,19404,18606.75,18562.95117,19324.04883,17928.78516,,0,,
100,19293.5,18756.14063,18731.06055,19480.37891,18105.04492,,1,,
101,18925.2,18863.82813,18843.19727,19584.11523,18225.45508,,1,,
102,18803.2,18830.28906,18804.65625,19536.52344,18195.70117,,1,,
103,19225.7,18702.1875,18671.4375,19395.13086,18071.65625,,1,,
104,19081,18809.70313,18787.29297,19502.41797,18195.26367,,1,,
105,19411,19098.95703,19085.39648,19794.9707,18498.95117,,1,,
106,19593,19083.2168,19062.91602,19775.98633,18481.38672,,1,,
107,19423,19161.98242,19142.23438,19857.26563,18559.69141,,1,,
108,19311.9,19335.02539,19316.83594,20032.39063,18732.61719,,1,,
109,19052.2,19194.89453,19164.57031,19883.80664,18582.70313,,1,,
110,19628.3,18980.42383,18942.25195,19663.85742,18360.47266,,1,,
111,20340.2,19124.1875,19097.91797,19817.57813,18515.18164,,0,,
112,20157.5,19667.52734,19661.13672,20377.25977,19078.47266,,1,,
113,19956.7,19867.51367,19853.4043,20573.07813,19271.95117,,1,,
114,19531.3,19894.69336,19870.63672,20593.72266,19287.06836,,1,,
115,19415,19561.13867,19519.54102,20250.64648,18931.7793,,1,,
116,19441,19272.00977,19225.70508,19961.28906,18633.06641,,1,,
117,19134.6,19177.94336,19136.83594,19872.08008,18542.63281,,1,,
118,19059.1,19013.27344,18970.71289,19705.22266,18377.91797,,1,,
119,19154.8,18841.17578,18798.38867,19529.79297,18207.99023,,1,,
120,19379.8,18836.29688,18800.13477,19524.64063,18213.8457,,1,,
121,19181.8,18799.14648,18766.63086,19488.56055,18180.06641,,1,,
122,19068.7,19044.50195,19022.2168,19736.97852,18434.87891,,1,,
123,19261.9,18933.60547,18901.60742,19613.95703,18319.99023,,1,,
124,19548.2,18985.39844,18957.04297,19664.22461,18378.88867,,1,,
125,19328.2,19166.48438,19144.70508,19848.08594,18570.08398,,1,,
126,19123.9,19174.26172,19147.4707,19851.1875,18575.1875,,1,,
127,19042.9,19033.38477,18998.5957,19703.2793,18427.9668,,1,,
128,19162.6,18906.88672,18869.6875,19574.72852,18299.67969,,1,,
129,19204.8,18822.88672,18786.95313,19492.74609,18216.59961,,1,,
130,19571.2,18902.89648,18872.70117,19575.6543,18303.44727,,1,,
131,19331.5,19127.80469,19106.09961,19805.97266,18538.15234,,1,,
132,20082.7,19155.41602,19128.24609,19828.37891,18561.66797,,0,,
133,20769.5,19546.39844,19533.375,20231.69336,18963.57813,,0,,
134,20292.9,20195.9375,20197.48242,20896.19531,19626.07813,,1,,
135,20594.4,20302.91211,20286.55078,20995.68164,19713.69336,,1,,
136,20809.8,20300.07813,20274.58008,20994.14258,19694.16602,,1,,
137,20626.3,20518.18945,20496.43945,21223.58203,19907.44727,,1,,
138,20496.3,20495.76563,20464.85547,21203.0293,19870.39844,,1,,
139,20483.5,20344.57617,20305.63672,21053.8457,19703.94336,,1,,
140,20154.4,20263.60938,20224.15039,20978.38477,19616.25195,,1,,
141,20206.4,20106.11523,20063.00977,20822.79688,19450.57813,,1,,
142,21145.9,19975.48438,19932.69531,20694.40039,19318.67969,,0,,
143,21301.6,20429.29297,20411.49805,21169.37305,19794.29102,,0,,
144,20916.3,20910.42578,20900.39063,21656.36133,20285.75195,,1,,
145,20589,20886.4375,20859.62695,21619.54492,20247.21484,,1,,
146,18527.4,20570.30664,20527.57422,21293.42188,19911.23828,,0,,
147,15886.9,19092.70313,19000.83984,19792.42188,18363.49414,,0,,
148,17589.1,17057.37695,16921.49219,17733.92383,16256.34766,,1,,
149,17049.9,16697.79102,16615.68555,17421.41797,15936.14746,,1,,
150,16795.2,16633.07227,16578.92188,17370.78906,15908.75879,,1,,
151,16324.5,16536.77148,16493.17773,17258.66602,15845.9043,,1,,
152,16613.7,16320.93164,16278.57715,17013.6582,15658.21387,,1,,
153,16895.1,16283.69336,16252.85254,16958.88477,15656.94824,,1,,
154,16540.5,16517.29492,16502.62695,17180.0918,15931.47363,,1,,
155,16691.2,16508.28906,16490.58984,17146.87695,15943.22461,,1,,
156,16638.3,16477.41211,16458.94922,17097.77734,15931.71582,,1,,
157,16699.2,16500.51172,16483.21289,17108.01367,15972.25684,,1,,
158,16286.7,16528.77539,16511.69922,17126.02344,16014.83984,,1,,
159,15776.2,16343.31641,16316.90625,16926.84961,15830.02441,,0,,
160,16212.9,15888.04102,15846.67773,16457.48828,15364.84961,,1,,
161,16623.9,15803.46875,15771.15918,16378.60254,15290.99121,,0,,
162,16601.2,16091.32227,16076.59766,16677.04688,15599.90234,,1,,
163,16512.3,16323.47656,16312.45508,16907.18555,15841.76074,,1,,
164,16456.5,16332.5957,16314.20703,16906.2793,15848.27441,,1,,
165,16425.6,16321.37012,16298.89551,16888.91602,15834.72363,,1,,
166,16211.7,16286.84473,16261.19434,16850.25,15798.52637,,1,,
167,16440.4,16110.82715,16077.99902,16669.08203,15614.94824,,1,,
168,17163.9,16107.16797,16078.60254,16669.35938,15613.66406,,0,,
169,16972,16496.88086,16486.73828,17074.8457,16020.08594,,1,,
170,17093.6,16737.58789,16727.03711,17316.01758,16260.7373,,1,,
171,16884.5,16796.44727,16779.22656,17371.04883,16311.84961,,1,,
